Taxon Id	Common name	Scientific name	Parent	Rank
1002879	red-chested flufftail	Sarothrura rufa	156765	species
1002881		Phylloscopus laurae	9181	species
1002882	Anchieta's barbet	Stactolaema anchietae	135182	species
1002883		Terpsiphone batesi	98151	species
1002890		Terpsiphone bedfordi	98151	species
1002898	Rufous-vented paradise-flycatcher	Terpsiphone rufocinerea	98151	species
1002901		Ardeola sp. GGS-2011	2628092	species
1002902		Francolinus sp. GGS-2011	2625120	species
1002903		Indicator sp. GGS-2011	2634862	species
1002904		Dendropicos sp. GGS-2011	2632814	species
1002905		Ploceus sp. GGS-2011	2629784	species
1002906		Quelea sp. GGS-2011	2639748	species
1002907		Anthus cinnamomeus katangae	211418	subspecies
1003837		Fulica alai	9120	species
1003838		Gallinula galeata	9122	species
1003839	red-vented bulbul	Pycnonotus cafer	125282	species
1003843		Halcyon smyrnensis	170865	species
1003845	red-wattled lapwing	Vanellus indicus	50403	species
1004780	grey-headed swamphen	Porphyrio poliocephalus	54483	species
1004782		Porphyrio poliocephalus poliocephalus	1004780	subspecies
1006159		Aulacorhynchus huallagae	57398	species
1006213		Canirallus	9119	genus
1006214		Mentocrex kioloides	2771525	species
1006215		Mentocrex beankaensis	2771525	species
1006542	Micronesian kingfisher	Todiramphus cinnamominus	325346	species
1006677		Pomatorhinus ferruginosus albogularis	932021	subspecies
1006679		Pomatorhinus ferruginosus formosus	932021	subspecies
1006681		Pomatorhinus ferruginosus stanfordi	932021	subspecies
1006682		Pomatorhinus ferruginosus dickinsoni	932021	subspecies
1006685		Pomatorhinus hypoleucos brevirostris	932024	subspecies
1006687		Pomatorhinus hypoleucos hainanus	932024	subspecies
1006724		Pomatorhinus ruficollis styani	932028	subspecies
1006725		Pomatorhinus ruficollis bakeri	932028	subspecies
1006727		Pomatorhinus ruficollis albipectus	932028	subspecies
1006729		Pomatorhinus ruficollis laurentei	932028	subspecies
1006730		Pomatorhinus ruficollis reconditus	932028	subspecies
1006731		Pomatorhinus ruficollis hunanensis	932028	subspecies
1006732		Pomatorhinus ruficollis nigrostellatus	932028	subspecies
1006733		Pomatorhinus ruficollis saturatus	932028	subspecies
1006734		Pomatorhinus horsfieldii	98147	species
1006735		Pomatorhinus schisticeps annamensis	201359	subspecies
1006736		Pomatorhinus schisticeps olivaceus	201359	subspecies
1006743		Pomatorhinus schisticeps fastidiosus	201359	subspecies
1006744		Pomatorhinus schisticeps humilis	201359	subspecies
